,Text,Type,Mesh
3802,Flavonoid,Chemical,D005419
3803,Apigenin,Chemical,D047310
3804,Memory loss,Disease,D008569
3805,Cholecystokinin-octapeptide,Chemical,D012844
3806,Cck-8,Chemical,D012844
3807,Neuroinflammation,Disease,D007249
3808,Excitotoxicity,Disease,D064420
3809,Memantine,Chemical,D008559
3810,Neuroinflammatory,Disease,D007249
3811,Attention problems,Disease,D003072
3812,Tubulointerstial disease,Disease,D004194
3813,Deterioration of renal function,Disease,D051437
3814,Tna,Chemical,D014148
3815,Tonic clonic convulsions,Disease,D004830
3816,Nervous system abnormalities,Disease,D009421
3817,Cardiovascular depression,Disease,D002318
3818,Dysrhythmia,Disease,D001145
3819,Statins,Chemical,D019161
3820,Drug-induced liver injury,Disease,D056486
3821,Epirubicine,Chemical,D015251
3822,Myocardial strain,Disease,D009202
3823,Epirubicin,Chemical,D015251
3824,Non-hodgkin lymphoma,Disease,D008228
3825,Myoclonic movements,Disease,D009069
3826,Phosphorus,Chemical,D010758
3827,Acute hepatitis,Disease,D006505
3828,Vasovagal syncope,Disease,D019462
3829,Schizo-affective disorder,Disease,D011618
3830,Zuclopenthixol,Chemical,D003006
3831,Personality disorder,Disease,D010554
3832,Antisocial disorder,Disease,D000987
3833,Substance abuse disorder,Disease,D019966
3834,Abnormal involuntary motor movements,Disease,D004409
3835,Generalised and focal seizures,Disease,D012640
3836,Postoperative complication,Disease,D011183
3837,Dysfunctional overnight memory,Disease,D008569
3838,Sleep-related impairments,Disease,D012893
3839,Impaired overnight memory,Disease,D008569
3840,Auditory hallucinations,Disease,D006212
3841,Delusions,Disease,D003072
3842,Hemiplegic migraine,Disease,D020325
3843,Encephalitis,Disease,D004660
3844,Dysmetria,Disease,D002524
3845,Baboon syndrome,Disease,Unknown
3846,Maculopapular eruption,Disease,D003875
3847,Pilsicainide,Chemical,C042288
3848,All-trans retinoic acid,Chemical,D014212
3849,Ctx,Chemical,D003520
3850,T-cell lymphoblastic lymphoma,Disease,D054218
3851,Leukemic,Disease,D007938
3852,Cytarabine,Chemical,D003561
3853,Tumor lysis syndrome,Disease,D015275
3854,Tls,Disease,D015275
3855,Hyperammonemic,Disease,D022124
3856,Neurological complications,Disease,D009422
3857,Necrotising fasciitis,Disease,D019115
3858,Waldenstrom macroglobulinaemia,Disease,D008258
3859,Subcellular degeneration,Disease,D009410
3860,Cardiomyocyte degeneration,Disease,D009410
3861,Lv dysfunction,Disease,D018487
3862,Gadolinium,Chemical,D005682
3863,Diastolic dysfunction,Disease,D018754
3864,Pain disorders,Disease,D013001
3865,Allodynic,Disease,D006930
3866,Primary open-angle glaucoma,Disease,C562750
3867,Poag,Disease,C562750
3868,Retinal ganglion,Disease,D012173
3869,Sodium 4-phenylbutyrate,Chemical,C075773
3870,Ginsenosides,Chemical,D036145
3871,Oih,Disease,D006930
3872,Opioid addiction,Disease,D009293
3873,Re,Chemical,C049864
3874,Rb1,Chemical,C442759
3875,Ginsenoside re,Chemical,C049864
3876,Hydroxytyrosol,Chemical,C005975
3877,Breast tumors,Disease,D001943
3878,Levothyroxine,Chemical,D013974
3879,Iodine,Chemical,D007455
3880,Thrombolysis,Disease,D055499
3881,Upper-extremity deep venous thrombosis,Disease,D056824
3882,Dvt,Disease,D020246
3883,Pulmonary embolism,Disease,D011655
3884,Superior vena cava (svc) syndrome,Disease,D013479
3885,Epistaxis,Disease,D004844
3886,Svc syndrome,Disease,D013479
3887,Dehydroepiandrosterone,Chemical,D003687
3888,Dhea,Chemical,D003687
3889,Hyper,Disease,D006948
3890,S-53482,Chemical,C106487
3891,S-23121,Chemical,C083440
3892,Embryolethality,Disease,D020964
3893,Teratogenicity,Disease,D064793
3894,Growth retardation,Disease,D005317
3895,Embryonic death,Disease,D020964
3896,Teratogenic,Disease,D064793
3897,Aki,Disease,D058186
3898,Cognition deficits,Disease,D003072
3899,Dutp,Chemical,Unknown
3900,Biotin,Chemical,D001710
3901,Tetrabenazine,Chemical,D013747
3902,Huntington's disease,Disease,D006816
3903,Neuroleptic drugs,Chemical,D014150
3904,Terbinafine,Chemical,C041359
3905,Onychomycosis,Disease,D014009
3906,Bisoprolol,Chemical,D017298
3907,Letrozole,Chemical,C067431
3908,Impaired the memory,Disease,D008569
3909,Garcinielliptone fc,Chemical,C573355
3910,Gfc,Chemical,C573355
3911,Skin diseases,Disease,D012871
3912,Diarrheas,Disease,D003967
3913,R-aminobutyric acid,Chemical,D005680
3914,Hepatitis c virus infected,Disease,D006526
3915,Telaprevir,Chemical,C486464
3916,Hepatitis c virus infection,Disease,D006526
3917,Muscle toxicity,Disease,D009135
3918,Hematoxylin,Chemical,D006416
3919,Eosin,Chemical,D004801
3920,Kidney lesions,Disease,D007674
3921,Birdshot retinochoroidopathy,Disease,C537630
3922,Raised intraocular pressure,Disease,D009798
3923,Cystoid macular edema,Disease,D008269
3924,Increased intraocular pressure,Disease,D009798
3925,Ndi,Disease,D018500
3926,Dysguesia,Disease,D004408
3927,Loss of taste sensation,Disease,D012678
3928,Butyrylcholinesterase deficiency,Disease,C537417
3929,Mivacurium,Chemical,C049430
3930,Butyrylthiocholine,Chemical,D002092
3931,Btc,Chemical,D002092
3932,Benzoylcholine,Chemical,D001588
3933,Dibucaine,Chemical,D003992
3934,Fluoride,Chemical,D005459
3935,Hydrogen,Chemical,D006859
3936,Artesunate,Chemical,C039726
3937,Betaine,Chemical,D001622
3938,Myocardial ischemic injury,Disease,D017202
3939,Ventricular remodeling,Disease,D020257
3940,Leucopenia,Disease,D007970
3941,Lateral epicondylitis,Disease,D013716
3942,Maleate,Chemical,C030272
3943,Malate,Chemical,C030298
3944,Kidney cancer,Disease,D007680
3945,Particulate matter,Chemical,D052638
3946,Iugr,Disease,D005317
3947,Dysplasia of fetal kidneys,Disease,D007674
3948,"1,3-butadiene",Chemical,C031763
3949,Cml,Disease,D015464
3950,Chronic myeloid leukemia,Disease,D015464
3951,Philadelphia chromosome,Disease,D010677
3952,Metolachlor,Chemical,C051786
3953,Liver neoplasms,Disease,D008113
3954,Liver cancer,Disease,D008113
3955,Metolachor,Chemical,C051786
3956,Follicular cell lymphoma,Disease,D008224
3957,Arsenic,Chemical,D001151
3958,Inorganic arsenic,Chemical,D001152
3959,Ias,Chemical,D001152
3960,Inorganic as,Chemical,D001152
3961,Piperazine,Chemical,C034930
3962,"Trans-2-amino-3-hydroxy-1, 2, 3, 4-tetrahydroanaphthalene",Chemical,Unknown
3963,"N-(trans-3-hydroxy-1,2,3,4-tetrahydro-2-naphthyl)-n-(3-oxo-3-phenyl-2-methylpropyl)-piperazine hydrochloride",Chemical,C013741
3964,P11,Chemical,C013741
3965,Bacl2,Chemical,C024986
3966,Strophantine g,Chemical,D010042
3967,Myodystrophy,Disease,D009136
3968,Myopathic,Disease,D009135
3969,Dianabol,Chemical,D008696
3970,Ciba,Chemical,Unknown
3971,Myopathic disease,Disease,D009135
3972,Embryopathy,Disease,D005315
3973,Nasal hypoplasia,Disease,Unknown
3974,Stippled epiphyses,Disease,D002806
3975,Chondrodysplasia punctata,Disease,D002806
3976,Isradipine,Chemical,D017275
3977,Palpitation,Disease,Unknown
3978,Asthmatics,Disease,D001249
3979,Asthmatic,Disease,D001249
3980,Glu,Chemical,D005947
3981,Palpitations,Disease,Unknown
3982,3-methoxy-4-hydroxyphenethyleneglycol,Chemical,D008734
3983,Mhpg,Chemical,D008734
3984,Panic attacks,Disease,D016584
3985,Abnormalities in neuronal systems,Disease,D009421
3986,Anxiety disorders,Disease,D001008
3987,Cobalt,Chemical,D003035
3988,Rheumatic disease,Disease,D012216
3989,Myxomatous degeneration,Disease,Unknown
3990,Clonic seizure,Disease,D012640
3991,Clonic seizures,Disease,D012640
3992,Tonic seizures,Disease,D012640
3993,Alkylxanthines,Chemical,Unknown
3994,Carcinoma of the renal pelvis,Disease,D010386
3995,Hydroureteronephrosis,Disease,D006869
3996,Carcinoma of the urinary tract,Disease,D014571
3997,Carcinomas of the urinary bladder,Disease,D001749
3998,Carcinoma of the prostate,Disease,D011471
3999,Urinary tract cancer,Disease,D014571
4000,Obstructive uropathy,Disease,Unknown
4001,Carbetocin,Chemical,C020731
4002,Retained placenta,Disease,D018457
4003,Hypokinesis,Disease,D018476
4004,Tachydysrhythmias,Disease,Unknown
4005,Sinus tachycardia,Disease,D013616
4006,Proarrhythmia,Disease,Unknown
4007,Primary systemic amyloidosis,Disease,C531616
4008,Ari,Disease,D058186
4009,Tubular injury,Disease,Unknown
4010,Impaired fear recognition,Disease,D001925
4011,Deficit in fear recognition,Disease,D001925
4012,Psychopaths,Disease,D001523
4013,Amygdala dysfunction,Disease,Unknown
4014,Corneal ulcers,Disease,D003320
4015,Epithelial defects,Disease,Unknown
4016,Inappetence,Disease,Unknown
4017,Ischemia of the globus pallidus,Disease,D002545
4018,Globus pallidus infarctions,Disease,D020520
4019,Basal ganglia infarcts,Disease,D020520
4020,Cerebral hypoperfusion,Disease,Unknown
4021,Burkitt lymphoma,Disease,D002051
4022,Biliary atresia,Disease,D001656
4023,Post-transplantation lymphoproliferative disorder,Disease,D008232
4024,Burkitt-type malignant lymphoma,Disease,D002051
4025,Acute prerenal failure,Disease,Unknown
4026,Cerebral microbleeds,Disease,Unknown
4027,Mb,Disease,Unknown
4028,Is,Disease,D002544
4029,Transient ischemic attack,Disease,D002546
4030,Tia,Disease,D002546
4031,Macroprolactinemia,Disease,D015175
4032,Macroprolactinoma,Disease,D015175
4033,Microprolactinoma,Disease,D015175
4034,Pseudoprolactinoma,Disease,Unknown
4035,Naphazoline,Chemical,D009278
4036,Xylometazoline,Chemical,C009695
4037,Codeine,Chemical,D003061
4038,Codine,Chemical,D003061
4039,Na,Chemical,D009638
4040,Monoamines,Chemical,D015306
4041,Hypoglycaemia,Disease,D007003
4042,Endometrial disease,Disease,D014591
4043,Norethisterone,Chemical,D009640
4044,Pure red cell aplasia,Disease,D012010
4045,Toxic dermatitis,Disease,D003875
4046,Carbenicillin,Chemical,D002228
4047,Pneumoniae,Disease,D011014
4048,Gram-negative bacillary infections,Disease,D016905
4049,Azotemia,Disease,D053099
4050,Aminocaproic acid,Chemical,D000614
4051,Acute renal artery thrombosis,Disease,D007674
4052,Epsilon aminocaproic acid,Chemical,D015119
4053,Intracranial vascular thrombosis,Disease,D020767
4054,Thromboembolic phenomena,Disease,D013923
4055,Disseminated intravascular coagulation,Disease,D004211
4056,Consumption coagulopathies,Disease,D004211
4057,Thrombosis of a normal renal artery,Disease,D007674
4058,Hypoglycemia,Disease,D007003
4059,Polycythemia,Disease,D011086
4060,Neonatal apnea,Disease,D001049
4061,Idiopathic orthostatic hypotension,Disease,C544351
4062,Propanolol,Chemical,D011433
4063,Myoclonia,Disease,D009207
4064,Fenoterol-hydrobromide,Chemical,D005280
4065,Ritodrin-hcl,Chemical,D012312
4066,Retinal artery and choriocapillaris occlusion,Disease,D015356
4067,Retinal artery and choriocapillaris occlusions,Disease,D015356
4068,Methylprednisolone acetate,Chemical,C000873
4069,Pupillary abnormalities,Disease,D011681
4070,Hemorrhages,Disease,D006470
4071,D-glucarates,Chemical,D005937
4072,Dehydrated,Disease,D003681
4073,"2,5-di-o-acetyl-d-glucaro-1,4-6,3-dilactone",Chemical,C038936
4074,Saccharic acid,Chemical,D005937
4075,Hexauronic acids,Chemical,D006603
4076,Hexaaldonic acids,Chemical,Unknown
4077,Sugar alcohols,Chemical,D013402
4078,Tca,Chemical,D002952
4079,D-glucarate,Chemical,D005937
4080,Renal damages,Disease,D007674
4081,Monosaccharides,Chemical,D009005
4082,Paraplegia,Disease,D010264
4083,Central nervous system leukemia,Disease,D002493
4084,Methothexate,Chemical,D008727
4085,Folate deficiency,Disease,C536409
4086,Guanethidine,Chemical,D006145
4087,Desmethylimipramine,Chemical,D003891
4088,Enlargement of pulse pressure,Disease,D006973
4089,Hyperglycemic,Disease,D006943
4090,Amino,Chemical,D015119
4091,Caproate,Chemical,C037652
4092,Norleucine,Chemical,Unknown
4093,Norvaline,Chemical,Unknown
4094,Epsilon-aminocaproate,Chemical,Unknown
4095,Leucine,Chemical,Unknown
4096,Fatty liver,Disease,D005234
4097,Tetracycline,Chemical,D013752
4098,Oleic acid,Chemical,D019301
4099,Sensory and motor dysfunction,Disease,D007049
4100,Hcl,Chemical,D006851
4101,Thalassemia,Disease,D013789
4102,Dfx,Chemical,D003676
4103,Neuroleptic,Chemical,D014150
4104,Oligomenorrhea,Disease,D009839
4105,Neuroleptic medications,Chemical,D014150
4106,Psychiatric symptoms,Disease,D011618
4107,Galactorrhea,Disease,D005687
4108,Ethacrynic acid,Chemical,D004976
4109,Aminophosphonovaleric acid,Chemical,Unknown
4110,Beta-carboline,Chemical,D002243
4111,Abecarnil,Chemical,C062769
4112,Isopropyl-6- benzyloxy-4-methoxymethyl-beta-carboline-3-carboxylate,Chemical,C062769
4113,Abecarrnil,Chemical,C062769
4114,T-[35s]butylbicyclophosphorothionate,Chemical,C037476
4115,[35s]tbps,Chemical,C037476
4116,Ro 16-6028,Chemical,C054626
4117,"Tert-butyl-(s)-8-bromo-11,12,13,13a-tetrahydro-9-oxo-9h- imidazo[1,5-a]-pyrrolo-[2,1-c][1,4]benzodiazepine-1-carboxylate",Chemical,C054626
4118,Isoniazide,Chemical,D007538
4119,Phenylalanine,Chemical,D010649
4120,2'3' dideoxyinosine,Chemical,D016049
4121,Thoracic hematomyelia,Disease,D020758
4122,Coumadin,Chemical,D014859
4123,Attention-deficit hyperactivity disorder,Disease,D001289
4124,Hyperlipoproteinemias,Disease,D006951
4125,Atherosclerotic vascular disease,Disease,D002340
4126,Fanconi's anemia,Disease,D005199
4127,Hemorrhagic bronchopneumonia,Disease,D001996
4128,Peliosis,Disease,D010382
4129,Hepatic tumors,Disease,D008113
4130,Hepatic neoplasms,Disease,D008113
4131,Damage of substantia nigra pars reticulata,Disease,D001930
4132,Epileptic seizure,Disease,D004827
4133,Prolonged status epilepticus,Disease,D013226
4134,Metabolic derangement,Disease,D008659
4135,Vasogenic edema,Disease,D001929
4136,Lesioned snr,Disease,D001930
4137,Damage of snr,Disease,D001930
4138,Neurotransmitter dysfunction,Disease,D001480
4139,N-(2-hydroxypropyl)methacrylamide,Chemical,C032976
4140,Hpma,Chemical,C032976
4141,Gly-phe-leu-gly,Chemical,C504380
4142,Post-herpetic neuralgia,Disease,D051474
4143,Phn,Disease,D051474
4144,Mastitis,Disease,D008413
4145,Sensory disturbance,Disease,Unknown
4146,Paranoid,Disease,D010259
4147,Loiasis,Disease,D008118
4148,Diethylcarbamazine,Chemical,D004049
4149,Dec,Chemical,D004049
4150,Filariasis,Disease,D005368
4151,Microfilaremia,Disease,Unknown
4152,Reperfusion injury,Disease,D015427
4153,Oxidized glutathione,Chemical,D019803
4154,Gssg,Chemical,D019803
4155,Tspa,Chemical,D013852
4156,Axonal neuropathy,Disease,D056768
4157,Neurologic toxicities,Disease,D020258
4158,Ara-c,Chemical,D003561
4159,Cromakalim,Chemical,D019806
4160,Pinacidil,Chemical,D020110
4161,Hypercalcemic,Disease,D006934
4162,Caco3,Chemical,D002119
4163,Bicarbonate,Chemical,D001639
4164,Aldomet,Chemical,D008750
4165,Emergency department,Disease,D004630
4166,Hereditary angioedema,Disease,D054179
4167,Menstrual abnormalities,Disease,D008599
4168,Muscle cramps,Disease,D009120
4169,Chlorhexidine diphosphanilate,Chemical,C048279
4170,Burns,Disease,D002056
4171,Burn,Disease,D002056
4172,Chlorhexidine phosphanilate,Chemical,C048279
4173,Chp,Chemical,C048279
4174,Silver sulphadiazine,Chemical,D012837
4175,Agsd,Chemical,D012837
4176,Neurological symptoms,Disease,D009461
4177,Central nervous system disease,Disease,D002493
4178,Hepatocellular necrosis,Disease,D047508
4179,Lupus-like syndrome,Disease,D008180
4180,Diethylstilbesterol,Chemical,D004054
4181,Renal carcinomas,Disease,D002292
4182,Postzosteric,Disease,D006562
4183,Biperiden lactate,Chemical,C036432
4184,Dysphagia,Disease,D003680
4185,Orciprenaline,Chemical,D009921
4186,Muscarine,Chemical,D009116
4187,H,Chemical,D006221
4188,E,Chemical,D004737
4189,I,Chemical,D007530
4190,Acc-9653,Chemical,C043114
4191,Disodium phosphate ester,Chemical,Unknown
4192,"3-hydroxymethyl-5,5-diphenylhydantoin",Chemical,C043104
4193,Phenytoin sodium,Chemical,C043114
4194,Strophanthidin,Chemical,D013327
4195,Hepatocellular damage,Disease,D056486
4196,Drug hypersensitivity,Disease,D004342
4197,Pertussis vaccine,Chemical,D010567
4198,Pertussis,Disease,D014917
4199,Cyproheptadine,Chemical,D003533
4200,Mianserin,Chemical,D008803
4201,Ischaemic,Disease,D007511
4202,8-phenyltheophylline,Chemical,C028322
4203,Enprofylline,Chemical,C034347
4204,P-aminohippuric acid,Chemical,D010130
4205,Polyethylene glycol,Chemical,D011092
4206,Naoh,Chemical,D012972
4207,Isotretinoin,Chemical,D015474
4208,Blepharoconjunctivitis,Disease,D003231
4209,Dry eyes,Disease,D014985
4210,Photodermatitis,Disease,D010787
4211,Pseudotumor cerebri,Disease,D011559
4212,Corneal opacities,Disease,D003318
4213,Congenital abnormalities,Disease,D000013
4214,Hypertelorism,Disease,D006972
4215,Optic nerve hypoplasia,Disease,C563492
4216,Procaterol,Chemical,D017265
4217,Bronchial asthma,Disease,D001249
4218,Tremorgenic,Disease,D014202
4219,Heart hypertrophy,Disease,D006332
4220,Ornithine,Chemical,D009952
4221,Hypertrophied hearts,Disease,D006332
4222,Hypertrophied,Disease,D006984
4223,Oxitropium bromide,Chemical,C017590
4224,Oxitropium,Chemical,C017590
4225,Retention deficit,Disease,D008569
4226,Methyl scopolamine,Chemical,D019832
4227,Lesions of the urinary bladder,Disease,D001745
4228,Necroses,Disease,D009336
4229,Muscle fasciculations,Disease,D005207
4230,Sodium salicylate,Chemical,D012980
4231,Phenylbutazone,Chemical,D010653
4232,Acute neurologic dysfunction,Disease,D009422
4233,Vp-16-213,Chemical,D005047
4234,Hematologic malignancies,Disease,D019337
4235,Motor deficits,Disease,Unknown
4236,Bile duct injury,Disease,D001649
4237,Thiabendazole,Chemical,D013827
4238,Drug-induced liver damage,Disease,D056486
4239,Bile duct destruction,Disease,D001649
4240,"1,4-dihydropyridine",Chemical,C038806
4241,Calcium channel blockers,Chemical,D002121
4242,Calcium channel blocking agents,Chemical,D002121
4243,Nisoldipine,Chemical,D015737
4244,Focal segmental glomerular sclerosis,Disease,D005923
4245,Fsgs,Disease,D005923
4246,Puromycin-aminonucleoside,Chemical,D011692
4247,Amns,Chemical,D011692
4248,Protamine sulfate,Chemical,D011479
4249,Ps,Chemical,D011479
4250,Ruthenium,Chemical,D012428
4251,Fludrocortisone,Chemical,D005438
4252,Hypoaldosteronism,Disease,D006994
4253,Type iv renal tubular acidosis,Disease,D006994
4254,Colorectal carcinoma,Disease,D015179
4255,Bone marrow toxicity,Disease,D001855
4256,Bradycardiac,Disease,D001919
4257,Behavior disorder,Disease,D002653
4258,Oral candidiasis,Disease,D002180
4259,Beclomethasone dipropionate,Chemical,D001507
4260,Beclomethasone,Chemical,D001507
4261,Thrush,Disease,D002180
4262,Candidiasis,Disease,D002177
4263,Cya,Chemical,D003520
4264,Wiskott-aldrich syndrome,Disease,D014923
4265,Severe combined immunodeficiency syndrome,Disease,D016511
4266,Immunodeficiencies,Disease,D007153
4267,Glomerular or tubular dysfunction,Disease,D007674
4268,Monosodium glutamate,Chemical,D012970
4269,Msg,Chemical,D012970
4270,Ether,Chemical,D004986
4271,Gamma-vinyl-gaba,Chemical,D020888
4272,L-glutamic acid,Chemical,D018698
4273,"D,l-4-amino-hex-5-enoic acid",Chemical,D020888
4274,Anterior infarction,Disease,D056988
4275,Ant-mi,Disease,D056988
4276,Inferior infarction,Disease,D056989
4277,Inf-mi,Disease,D056989
4278,Downbeat nystagmus,Disease,D009759
4279,Oscillopsia,Disease,D015835
4280,Denopamine,Chemical,C037293
4281,Ta-064,Chemical,C037293
4282,Infantile spasms,Disease,D013036
4283,Timolol maleate,Chemical,D013999
4284,Glucuronyl,Chemical,Unknown
4285,Papillary necrosis,Disease,D007681
4286,Pgf2 alpha,Chemical,D015237
4287,Pathological renal medullary lesions,Disease,D058186
4288,Deterioration of renal function,Disease,D007674
4289,Hemicholinium,Chemical,D006426
4290,Neuroleptics,Chemical,D014150
4291,Cardiovascular dysfunction,Disease,D002318
4292,Sodium pentobarbital,Chemical,D010424
4293,Barium chloride,Chemical,C024986
4294,Barium,Chemical,D001464
4295,Disturbances within the cardiovascular system,Disease,D002318
4296,Xylazine,Chemical,D014991
4297,Metabolic disturbances,Disease,D008659
4298,Cardiomyopathic disorder,Disease,D009202
4299,Mesangial dysfunction,Disease,D007674
4300,Proteinuric,Disease,D011507
4301,Carbon,Chemical,D002244
4302,Sclerosis,Disease,D012598
4303,Dithiothreitol,Chemical,D004229
4304,P-aminophenol,Chemical,C026729
4305,Bis(p-nitrophenyl) phosphate,Chemical,C002887
4306,Apap,Chemical,D000082
4307,Pap,Chemical,C026729
4308,Bnpp,Chemical,C002887
4309,Renal tubular necrosis,Disease,D007683
4310,Morphine sulfate,Chemical,D009020
4311,Vincristine sulfate,Chemical,D014750
4312,Pseudomonas infections,Disease,D011552
4313,Leukocytosis,Disease,D007964
4314,Flurazepam,Chemical,D005479
4315,Fzp,Chemical,D005479
4316,Toxocity,Disease,D064420
4317,Muscle tremors,Disease,D014202
4318,Progestins,Chemical,D011372
4319,Conjugated estrogens,Chemical,D004966
4320,Premarin,Chemical,D004966
4321,Medroxyprogesterone acetate,Chemical,D017258
4322,Mastodynia,Disease,D059373
4323,Aza,Chemical,D001379
4324,Bacteremias,Disease,D016470
4325,Abdominal infections,Disease,D059413
4326,Urinary tract infections,Disease,D014552
4327,Staphylococcal infections,Disease,D013203
4328,Fungal infections,Disease,D009181
4329,Cmv infection,Disease,D003586
4330,Epstein barr virus infection,Disease,D020031
4331,Cholecystokinin,Chemical,D002766
4332,Cholecystokinin octapeptide,Chemical,D012844
4333,Caerulein,Chemical,D002108
4334,Doca,Chemical,D003900
4335,Ddavp,Chemical,D003894
4336,Toxic liver damage,Disease,D056486
4337,Atrial thrombosis,Disease,D003328
4338,Quinacrine hydrochloride,Chemical,D011796
4339,Myocardial degeneration,Disease,D009202
4340,Sodium nitrite,Chemical,D012977
4341,Alternating sinus rhythm,Disease,D001146
4342,Sinoatrial (s-a) block,Disease,D012848
4343,Alternating rhythm,Disease,D001146
4344,S-a block,Disease,D012848
4345,Conduction disorder,Disease,D019955
4346,Immunocytoma,Disease,Unknown
4347,Hydrothorax,Disease,D006876
4348,Pilocarpine nitrate,Chemical,D010862
4349,[omega-i-131]heptadecanoic acid,Chemical,C013102
4350,I-131 ha,Chemical,C013102
4351,Trimetaphan,Chemical,D014294
4352,O2,Chemical,D010100
4353,Dsp4,Chemical,C012102
4354,Accelerated junctional rhythms,Disease,D001145
4355,Cis-platinum,Chemical,D002945
4356,Hexamethylmelamine,Chemical,D006585
4357,Cpdd,Chemical,C034868
4358,Hmm,Chemical,D006585
4359,Dissecting aneurysm,Disease,D000784
4360,Locked-in syndrome,Disease,D011782
4361,Anginal attacks,Disease,D000787
4362,Tachycardial,Disease,D013610
4363,Renal tubular acidosis,Disease,D000141
4364,Methoxyflurane,Chemical,D008733
4365,Hepatic insufficiency syndrome,Disease,D048550
4366,Thrombopenia,Disease,D013921
4367,Adenosine triphosphate,Chemical,D000255
4368,Endografine,Chemical,C006753
4369,Vasurix polyvidone,Chemical,D000100
4370,Acetrizoate,Chemical,D000100
4371,Dimer-x,Chemical,C025504
4372,Iocarmate,Chemical,C025504
4373,Hexabrix,Chemical,D007485
4374,Ioxaglate,Chemical,D007485
4375,Scoline,Chemical,D013390
4376,Fazadinium,Chemical,C084773
4377,Althesin,Chemical,D000530
4378,Bromide,Chemical,D001965
4379,L-norepinephrine,Chemical,D009638
4380,Hernias,Disease,D006547
4381,Amblyopia,Disease,D000550
4382,Tonic pupillary,Disease,D015845
4383,Quinine sulfate,Chemical,D011803
4384,Leg cramps,Disease,D009120
4385,Jaw stiffness,Disease,D014313
4386,Pancuronium,Chemical,D010197
4387,Prolonged jaw rigidity,Disease,D014313
4388,Gouty arthritis,Disease,D015210
4389,Hyporeninemic hypoaidosteronism,Disease,D006994
4390,Respiratory upset,Disease,D012140
4391,Trimethoprim-sulfamethoxazole,Chemical,D015662
4392,Trimethoprim,Chemical,D014295
4393,Cephalexin,Chemical,D002506
4394,Tmp-smz,Chemical,D015662
4395,Toxic epidermal necrolysis,Disease,D013262
4396,Bradydysrhythmias,Disease,D001919
4397,Sensory neuropathy,Disease,D012678
4398,Hematologic toxicities,Disease,D006402
4399,Cirrhotic,Disease,D005355
4400,Angio-oedema,Disease,D000799
4401,Angiotensin-converting enzyme inhibitor,Chemical,D000806
4402,Angiotensin-converting enzyme (ace) inhibitors,Chemical,D000806
4403,Granisetron,Chemical,D017829
4404,Kytril,Chemical,D017829
4405,Hyperaldosteronism,Disease,D006929
4406,Dihydrothienopyridine calcium,Chemical,Unknown
4407,S-312-d,Chemical,C059447
4408,S-312,Chemical,C059447
4409,S-312-l,Chemical,Unknown
4410,Audiogenic tonic convulsions,Disease,D020195
4411,Flunarizine,Chemical,D005444
4412,Bemegride,Chemical,D001534
4413,Tubular damage,Disease,D007674
4414,"Guanosine 3',5'-cyclic monophosphate",Chemical,D006152
4415,Cgmp,Chemical,D006152
4416,Dimethylthiourea,Chemical,C038983
4417,Dmtu,Chemical,C038983
4418,Hypertrophic hearts,Disease,D006332
4419,Phe,Chemical,D010656
4420,Sn,Chemical,D009599
4421,Idiopathic cardiomyopathy,Disease,D002311
4422,Cytomegalovirus infections,Disease,D003586
4423,Ganciclovir,Chemical,D015774
4424,Lymphoproliferative disorder,Disease,D008232
4425,Movement difficulties,Disease,D020820
4426,Cognitive disorders,Disease,D003072
4427,Desmethylfluoxetine,Chemical,C036139
4428,Aracytine-c,Chemical,D003561
4429,Adult respiratory distress syndrome,Disease,D012128
4430,Clentiazem,Chemical,C056595
4431,Cardiac injury,Disease,D006331
4432,"1,5-benzothiazepine",Chemical,C106746
4433,Ischemic lesions,Disease,D007511
4434,"1,25(oh)2d",Chemical,D002117
4435,Hypoparathyroidism,Disease,D007011
4436,Alkali,Chemical,D000468
4437,Sucralfate,Chemical,D013392
4438,Alkalosis,Disease,D000471
4439,Hypercalcemic emergency,Disease,D006934
4440,Unipolar depression,Disease,D003866
4441,Ss,Disease,D020230
4442,Hemorrhagic,Disease,D006470
4443,Irritation of the urinary tract,Disease,D014570
4444,Cd-832,Chemical,C082828
4445,Stenosis,Disease,D003251
4446,Growth failure,Disease,D006130
4447,Glomerular hypertrophy,Disease,D007674
4448,Tubulointerstitial damage,Disease,D007674
4449,Nefiracetam,Chemical,C058876
4450,Dm-9384,Chemical,C058876
4451,Pyrrolidone,Chemical,D011760
4452,Learning and post-training consolidation deficits,Disease,D007859
4453,Corticotropin,Chemical,D000324
4454,Thyrotropin,Chemical,D013972
4455,Hypercapnic,Disease,D006935
4456,"2',3'-dideoxy cytosine",Chemical,D019259
4457,Ocs,Chemical,D003276
4458,Progestagens,Chemical,D011374
4459,Deep-vein thrombosis,Disease,D020246
4460,Ethinyloestradiol,Chemical,D004997
4461,Tonic and clonic seizure,Disease,D012640
4462,Granulocyte colony-stimulating factor,Chemical,D016179
4463,"D,l-sotalol",Chemical,D013015
4464,Ventricular tachyarrhythmia,Disease,D017180
4465,Loss of myelination,Disease,D003711
4466,All-trans-retinoic acid,Chemical,D014212
4467,Occlusion of renal vessels,Disease,Unknown
4468,Diethylpropion,Chemical,D004053
4469,Dep,Chemical,D004053
4470,Ondansetron,Chemical,D017294
4471,Major depression disorder,Disease,D003865
